Sample_ID,Material,Cross_Section_Type,Beam_Length_m,Thickness_m,Factor_of_Safety,Moment_of_Inertia_m4,Cross_Sec_Area_m2,y_max_m,Young_Modulus_GPa,Yield_Strength_MPa,Sigma_Allow_MPa,P_Bending_kN,P_Shear_kN,P_Deflection_kN,Max_Load_kN,Governing_Criterion,Slenderness_Ratio,Max_Deflection_mm,Bending_Stress_MPa,Stress_Utilization_pct
163,Steel,Box,8.535,0.341,2,0.005758366,0.09079839,0.340663,200,250,125,990.186,8777.178,2529.259,989.852,Bending,25.06,11.1386,125,50
164,Steel,Box,7.946,0.47,3.5,0.020892395,0.17295082,0.470161,200,250,71.429,1597.754,9553.474,10587.935,1519.24,Bending,16.9,3.9971,71.429,28.57
165,Steel,Box,3.832,0.119,3,8.51E-05,0.01103987,0.118787,200,250,83.333,62.337,711.458,185.503,63.829,Bending,32.26,4.2925,83.333,33.33
166,Steel,Box,2.095,0.489,2.5,0.02440367,0.18692014,0.48878,200,250,100,9530.914,14455.157,177857.096,5000,Bending,4.29,0.3743,100,40
167,Steel,Box,16.776,0.373,2.5,0.008303467,0.10903307,0.373306,200,250,100,530.37,8431.891,944.187,503.808,Bending,44.94,31.4105,100,40
168,Steel,Box,15.851,0.134,3,0.000138554,0.01408438,0.13417,200,250,83.333,21.716,907.66,17.647,17.934,Deflection,118.14,52.8362,67.716,27.09
169,Steel,Box,9.658,0.278,1.5,0.002569399,0.06065188,0.278425,200,250,166.667,637.018,7817.353,881.495,672.315,Bending,34.69,23.2644,166.667,66.67
170,Steel,Box,15.82,0.089,2.5,2.72E-05,0.00623653,0.089281,200,250,100,7.694,482.291,3.473,3.501,Deflection,177.19,52.7334,45.148,18.06
171,Steel,Box,18.776,0.194,2.5,0.000609247,0.0295342,0.194289,200,250,100,66.803,2283.978,55.3,55.054,Deflection,96.64,62.5875,82.781,33.11
172,Steel,Box,4.419,0.079,3,1.63E-05,0.00482365,0.078519,200,250,83.333,15.611,310.857,26.626,15.42,Bending,56.29,8.6372,83.333,33.33
173,Steel,Box,5.631,0.358,3,0.007027652,0.10030756,0.358057,200,250,83.333,1161.822,6464.265,7091.961,1190.95,Bending,15.73,3.075,83.333,33.33
174,Steel,Box,15.684,0.318,2.5,0.004374351,0.07913805,0.318037,200,250,100,350.781,6120.009,569.042,338.892,Bending,49.32,32.2277,100,40
175,Steel,Box,8.28,0.468,3,0.020561424,0.17157544,0.468288,200,250,83.333,1767.697,11057.084,9598.015,1776.698,Bending,17.68,5.083,83.333,33.33
176,Steel,Box,5.262,0.08,3,1.74E-05,0.00499777,0.079923,200,250,83.333,13.827,322.078,20.161,13.864,Bending,65.84,12.0301,83.333,33.33
177,Steel,Box,17.153,0.113,1.5,6.95E-05,0.00997236,0.112898,200,250,166.667,23.913,1285.327,7.555,7.728,Deflection,151.93,57.1764,52.655,21.06
178,Steel,Box,16.852,0.134,2.5,0.00013737,0.01402409,0.133882,200,250,100,24.354,1084.53,15.478,15.774,Deflection,125.87,56.1746,63.555,25.42
179,Steel,Box,13.974,0.285,3,0.002835903,0.06371977,0.285379,200,250,83.333,237.05,4106.385,464.759,242.884,Bending,48.96,23.7574,83.333,33.33
180,Steel,Box,14.294,0.253,2.5,0.001762254,0.05022995,0.253377,200,250,100,194.633,3884.45,276.014,184.665,Bending,56.41,33.5977,100,40
181,Steel,Box,13.234,0.293,1.5,0.003146929,0.06712309,0.292901,200,250,166.667,541.238,8651.421,574.997,546.547,Bending,45.18,41.5228,166.667,66.67
182,Steel,Box,8.91,0.295,2.5,0.003220509,0.06790328,0.294599,200,250,100,490.765,5251.187,1298.12,487.539,Bending,30.24,11.2284,100,40
183,Steel,Box,11.771,0.244,2.5,0.001520182,0.04665265,0.244188,200,250,100,211.547,3607.805,351.073,202.164,Bending,48.21,23.6436,100,40
184,Steel,Box,4.507,0.407,3.5,0.011768108,0.12980213,0.407311,200,250,71.429,1831.616,7170.023,18539.639,1894.464,Bending,11.06,1.4842,71.429,28.57
185,Steel,Box,10.918,0.384,2.5,0.009263498,0.11516381,0.383657,200,250,100,884.633,8906.001,2486.959,871.698,Bending,28.46,12.945,100,40
186,Steel,Box,7.611,0.162,1.5,0.000293178,0.02048773,0.16182,200,250,166.667,158.696,2640.641,161.956,160.618,Bending,47.03,24.8593,166.667,66.67
187,Steel,Box,2.604,0.306,2,0.003770867,0.07347661,0.30645,200,250,125,2363.086,7102.739,17801.149,2479.498,Bending,8.5,1.1521,125,50
188,Steel,Box,3.852,0.291,3,0.003083599,0.06644426,0.291417,200,250,83.333,915.548,4281.963,6648.522,914.482,Bending,13.22,1.7684,83.333,33.33
189,Steel,Box,10.226,0.322,3.5,0.004583977,0.08101207,0.321781,200,250,71.429,398.023,4474.953,1402.751,385.86,Bending,31.78,9.6719,71.429,28.57
190,Steel,Box,9.361,0.397,2.5,0.010658103,0.12352887,0.397347,200,250,100,1146.143,9552.9,3891.952,1248.478,Bending,23.56,9.1893,100,40
191,Steel,Box,13.541,0.362,3,0.00736483,0.10268568,0.362277,200,250,83.333,500.451,6617.522,1285.385,511.232,Bending,37.38,17.573,83.333,33.33
192,Steel,Box,16.882,0.482,2,0.02299787,0.18145641,0.481584,200,250,125,1414.335,17540.787,2582.084,1480.848,Bending,35.06,30.8244,125,50
193,Steel,Box,19.051,0.119,3.5,8.58E-05,0.01108108,0.119008,200,250,71.429,10.808,612.098,7.562,7.759,Deflection,160.08,63.5037,49.974,19.99
194,Steel,Box,12.673,0.096,3,3.63E-05,0.00720995,0.095996,200,250,83.333,9.948,464.641,7.234,7.031,Deflection,132.02,42.2444,60.597,24.24
195,Steel,Box,16.222,0.06,2,5.68E-06,0.00285056,0.06036,200,250,125,2.898,275.554,0.69,0.678,Deflection,268.75,54.0717,29.768,11.91
196,Steel,Box,3.241,0.085,1.5,2.21E-05,0.00562554,0.084794,200,250,166.667,53.628,725.069,67.356,55.722,Bending,38.22,8.6004,166.667,66.67
197,Steel,Box,18.66,0.253,3.5,0.001748408,0.05003224,0.252878,200,250,71.429,105.864,2763.686,160.679,106.041,Bending,73.79,40.9812,71.429,28.57
198,Steel,Box,12.643,0.23,1.5,0.001187187,0.0412276,0.229551,200,250,166.667,272.709,5313.779,237.669,245.47,Deflection,55.08,42.1432,145.252,58.1
199,Steel,Box,15.396,0.143,1.5,0.000176357,0.01589004,0.142511,200,250,166.667,53.584,2048.05,23.807,24.415,Deflection,108.04,51.3216,74.049,29.62
200,Steel,Box,18.557,0.206,2,0.000767807,0.03315543,0.205856,200,250,125,100.494,3205.025,71.346,66.378,Deflection,90.15,61.858,88.743,35.5
201,Steel,L-Beam,10.655,0.463,2.5,0.009391075,0.10786222,0.636007,200,250,100,554.316,8341.345,2646.994,562.16,Bending,23,7.4377,100,40
202,Steel,L-Beam,4.979,0.065,1.5,3.69E-06,0.00213914,0.089567,200,250,166.667,5.521,275.711,4.767,4.549,Deflection,76.32,16.5975,143.904,57.56
203,Steel,L-Beam,8.523,0.311,2,0.001913236,0.04868509,0.427292,200,250,125,262.674,4706.225,842.8,260.555,Bending,27.38,8.8546,125,50
204,Steel,L-Beam,3.536,0.499,1.5,0.012596065,0.12491918,0.68445,200,250,166.667,3469.395,16100.695,32232.066,3354.226,Bending,7.09,1.2688,166.667,66.67
205,Steel,L-Beam,7.393,0.189,2.5,0.000262679,0.0180395,0.260099,200,250,100,54.644,1395.054,153.803,54.969,Bending,39.02,8.7551,100,40
206,Steel,L-Beam,5.693,0.136,3.5,6.93E-05,0.00926822,0.186434,200,250,71.429,18.667,511.959,68.472,18.586,Bending,41.92,5.173,71.429,28.57
207,Steel,L-Beam,8.799,0.426,2.5,0.006741215,0.09138624,0.58542,200,250,100,523.473,7067.202,2786.217,545.279,Bending,20.63,5.5105,100,40
208,Steel,L-Beam,9.934,0.23,2.5,0.000573788,0.02666168,0.316206,200,250,100,73.068,2061.837,186.07,67.239,Bending,43.13,13.003,100,40
209,Steel,L-Beam,4.794,0.132,3.5,6.16E-05,0.00873801,0.181023,200,250,71.429,20.29,482.671,85.802,20.356,Bending,36.36,3.779,71.429,28.57
210,Steel,L-Beam,6.901,0.454,2,0.008647169,0.10350198,0.623019,200,250,125,1005.549,10005.191,5809.588,1000.001,Bending,15.21,3.9818,125,50
211,Steel,L-Beam,9.357,0.061,3,2.90E-06,0.00189588,0.08432,200,250,83.333,1.226,122.179,1.06,1.099,Deflection,152.34,31.1907,72.09,28.84
212,Steel,L-Beam,6.57,0.138,3.5,7.45E-05,0.00960444,0.189785,200,250,71.429,17.062,530.531,55.2,15.949,Bending,47.52,6.7691,71.429,28.57
213,Steel,L-Beam,12.711,0.203,3.5,0.000343894,0.02064067,0.27822,200,250,71.429,27.784,1140.151,68.112,28.201,Bending,62.72,17.2832,71.429,28.57
214,Steel,L-Beam,6.287,0.095,2.5,1.64E-05,0.00451109,0.130067,200,250,100,8.035,348.858,13.297,7.781,Bending,66.36,12.6633,100,40
215,Steel,L-Beam,19.328,0.475,3.5,0.010374473,0.1133691,0.65204,200,250,71.429,235.204,6262.293,888.702,223.256,Bending,40.69,17.0509,71.429,28.57
216,Steel,L-Beam,3.565,0.335,1.5,0.002565736,0.05637904,0.459818,200,250,166.667,1043.561,7266.632,6461.422,1015.369,Bending,10.64,1.919,166.667,66.67
217,Steel,L-Beam,5.742,0.062,3.5,3.00E-06,0.00192784,0.085028,200,250,71.429,1.756,106.49,2.912,1.773,Bending,92.7,11.5403,71.429,28.57
218,Steel,L-Beam,14.671,0.46,3.5,0.00910861,0.10622769,0.631169,200,250,71.429,281.046,5867.815,1354.194,288.382,Bending,31.91,10.1493,71.429,28.57
219,Steel,L-Beam,8.153,0.167,2,0.000157548,0.01397071,0.228895,200,250,125,42.213,1350.502,75.851,41.796,Bending,48.89,15.124,125,50
220,Steel,L-Beam,16.952,0.205,1.5,0.000362337,0.02118694,0.281878,200,250,166.667,50.553,2730.761,40.349,40.232,Deflection,82.56,56.5059,133.026,53.21
221,Steel,L-Beam,9.85,0.183,3,0.000226147,0.01673815,0.250542,200,250,83.333,30.545,1078.681,74.584,30.698,Bending,53.97,13.4469,83.333,33.33
222,Steel,L-Beam,19.737,0.262,1.5,0.000960103,0.0344882,0.359635,200,250,166.667,90.176,4445.146,78.872,76.563,Deflection,75.34,65.7887,145.774,58.31
223,Steel,L-Beam,10.726,0.281,1.5,0.001263677,0.0395667,0.385205,200,250,166.667,203.899,5099.708,351.487,217.082,Bending,38.22,20.7406,166.667,66.67
224,Steel,L-Beam,6.642,0.113,2.5,3.29E-05,0.00638356,0.154724,200,250,100,12.803,493.662,23.859,13.061,Bending,58.93,11.8802,100,40
225,Steel,L-Beam,9.591,0.11,3.5,2.93E-05,0.00602777,0.150351,200,250,71.429,5.811,332.963,10.203,5.717,Bending,87.57,18.2076,71.429,28.57
226,Steel,L-Beam,2.331,0.461,3.5,0.009240359,0.10699319,0.633439,200,250,71.429,1788,5910.1,54417.966,1746.252,Bending,5.05,0.2553,71.429,28.57
227,Steel,L-Beam,16.671,0.274,2,0.001151181,0.03776448,0.37633,200,250,125,91.745,3650.567,132.547,97.265,Bending,60.81,38.4638,125,50
228,Steel,L-Beam,16.935,0.143,2,8.50E-05,0.01025976,0.196153,200,250,125,12.789,991.777,9.48,9.684,Deflection,118.52,56.4512,92.66,37.06
229,Steel,L-Beam,4.52,0.169,2.5,0.00016492,0.01429383,0.231527,200,250,100,63.032,1105.389,258.275,66.096,Bending,26.8,3.6773,100,40
230,Steel,L-Beam,13.971,0.129,3.5,5.63E-05,0.00835136,0.176972,200,250,71.429,6.506,461.313,9.23,6.812,Bending,108.37,32.8238,71.429,28.57
231,Steel,L-Beam,17.086,0.232,2,0.000590186,0.02703996,0.318442,200,250,125,54.236,2613.862,64.694,51.218,Bending,73.66,47.747,125,50
232,Steel,L-Beam,19.255,0.133,3.5,6.37E-05,0.0088843,0.182532,200,250,71.429,5.179,490.752,5.499,5.025,Bending,144.81,60.4536,71.429,28.57
233,Steel,L-Beam,12.857,0.16,3.5,0.000134941,0.01292954,0.220201,200,250,71.429,13.618,714.203,26.124,13.526,Bending,80.15,22.3411,71.429,28.57
234,Steel,L-Beam,18.479,0.375,2.5,0.004017318,0.0705472,0.51436,200,250,100,169.062,5455.65,376.459,175.186,Bending,49.32,27.6624,100,40
235,Steel,L-Beam,19.088,0.228,3.5,0.000555564,0.02623487,0.313665,200,250,71.429,26.512,1449.164,48.796,25.117,Bending,83.54,34.5695,71.429,28.57
236,Steel,L-Beam,11.717,0.123,3,4.65E-05,0.00759074,0.168721,200,250,83.333,7.842,489.181,10.84,7.813,Bending,95.33,28.2543,83.333,33.33
237,Steel,L-Beam,2.926,0.273,3.5,0.001138202,0.03755098,0.375265,200,250,71.429,296.203,2074.245,4255.201,299.531,Bending,10.7,0.6788,71.429,28.57
238,Steel,L-Beam,10.536,0.205,1.5,0.000359776,0.02111193,0.281379,200,250,166.667,80.903,2721.094,103.707,78.357,Bending,51.4,27.3981,166.667,66.67
239,Steel,L-Beam,9.43,0.367,2,0.003706274,0.0677611,0.504101,200,250,125,389.821,6550.239,1333.638,380.501,Bending,25.68,9.1882,125,50
240,Steel,L-Beam,3.4,0.051,2.5,1.38E-06,0.00130971,0.070083,200,250,100,2.324,101.284,3.833,2.319,Bending,66.59,6.8719,100,40
241,Concrete,Rectangular,6.899,0.316,2.5,0.002790368,0.14940864,0.236703,30,25,10,68.353,199.212,281.436,70.374,Bending,21.86,5.5849,10,40
242,Concrete,Rectangular,19.318,0.406,1.5,0.0076047,0.2466528,0.30413,30,25,16.667,86.293,548.117,97.816,84.754,Bending,47.64,56.807,16.667,66.67
243,Concrete,Rectangular,10.028,0.133,2.5,8.88E-05,0.02665726,0.099982,30,25,10,3.544,35.543,4.24,3.631,Bending,75.22,27.9391,10,40
244,Concrete,Rectangular,13.858,0.362,1.5,0.004804445,0.1960499,0.271143,30,25,16.667,85.241,435.666,120.082,86.823,Bending,38.33,32.791,16.667,66.67
245,Concrete,Rectangular,18.261,0.341,2.5,0.003802822,0.1744207,0.255749,30,25,10,32.571,232.561,54.742,33.371,Bending,53.55,36.2168,10,40
246,Concrete,Rectangular,2.611,0.364,1.5,0.004928674,0.19856836,0.272879,30,25,16.667,461.165,441.263,3470.151,443.035,Shear,7.18,1.1067,15.947,63.79
247,Concrete,Rectangular,5.467,0.102,2.5,3.03E-05,0.01556836,0.076408,30,25,10,2.901,20.758,4.866,2.898,Bending,53.66,10.8649,10,40
248,Concrete,Rectangular,17.517,0.43,2,0.009619603,0.27741093,0.322535,30,25,12.5,85.133,462.352,150.484,86.873,Bending,40.73,33.0322,12.5,50
249,Concrete,Rectangular,11.404,0.34,2.5,0.003760479,0.17344692,0.255034,30,25,10,51.719,231.263,138.798,50.392,Bending,33.54,14.1644,10,40
250,Concrete,Rectangular,17.93,0.289,2,0.001951615,0.12495166,0.216464,30,25,12.5,25.142,208.253,29.139,27.21,Bending,62.12,51.568,12.5,50
251,Concrete,Rectangular,15.046,0.079,1.5,1.12E-05,0.00945901,0.059558,30,25,16.667,0.832,21.02,0.237,0.5,Deflection,189.47,50.1527,4.75,19
252,Concrete,Rectangular,15.281,0.284,3.5,0.001831591,0.12104846,0.213057,30,25,7.143,16.073,115.284,37.648,16.307,Bending,53.79,21.7471,7.143,28.57
253,Concrete,Rectangular,13.086,0.155,2.5,0.000161634,0.03595931,0.116124,30,25,10,4.255,47.946,4.531,4.265,Bending,84.51,40.9599,10,40
254,Concrete,Rectangular,18.903,0.409,3,0.007905083,0.25147697,0.307089,30,25,8.333,45.393,279.419,106.188,46.844,Bending,46.17,26.9354,8.333,33.33
255,Concrete,Rectangular,2.948,0.09,3.5,1.83E-05,0.01210806,0.067383,30,25,7.143,2.636,11.531,10.119,2.841,Bending,32.82,2.5595,7.143,28.57
256,Concrete,Rectangular,6.89,0.229,1.5,0.000776557,0.07881912,0.171922,30,25,16.667,43.703,175.154,78.511,42.85,Bending,30.06,12.785,16.667,66.67
257,Concrete,Rectangular,8.055,0.285,1.5,0.00185903,0.12195179,0.21385,30,25,16.667,71.951,271.004,137.541,71.044,Bending,28.25,14.0453,16.667,66.67
258,Concrete,Rectangular,8.383,0.179,3,0.000290404,0.0481999,0.134443,30,25,8.333,8.589,53.555,19.835,8.516,Bending,46.77,12.1003,8.333,33.33
259,Concrete,Rectangular,14.88,0.315,1.5,0.002772552,0.14893092,0.236324,30,25,16.667,52.563,330.958,60.106,52.176,Bending,47.22,43.3752,16.667,66.67
260,Concrete,Rectangular,4.24,0.48,3.5,0.014978135,0.3461576,0.36029,30,25,7.143,280.146,329.674,3999.38,272.723,Bending,8.83,0.99,7.143,28.57
261,Concrete,Rectangular,16.154,0.09,2.5,1.86E-05,0.01221352,0.067676,30,25,10,0.682,16.285,0.343,0.5,Deflection,179.02,53.8474,5.027,20.11
262,Concrete,Rectangular,9.228,0.427,3.5,0.009351727,0.27352115,0.320266,30,25,7.143,90.403,260.496,527.079,90.551,Bending,21.61,5.2761,7.143,28.57
263,Concrete,Rectangular,16.952,0.104,2.5,3.31E-05,0.0162716,0.078114,30,25,10,1,21.695,0.553,0.544,Deflection,162.76,56.5052,5.53,22.12
264,Concrete,Rectangular,5.356,0.401,3.5,0.007258716,0.24097661,0.30061,30,25,7.143,128.812,229.502,1214.613,126.498,Bending,13.36,1.8933,7.143,28.57
265,Concrete,Rectangular,3.041,0.486,1.5,0.015702955,0.35443425,0.364572,30,25,16.667,944.205,787.632,8149.702,846.744,Shear,6.26,0.9797,13.903,55.61
266,Concrete,Rectangular,11.451,0.167,2.5,0.000219306,0.04188613,0.125329,30,25,10,6.113,55.848,8.029,6.199,Bending,68.52,29.0603,10,40
267,Concrete,Rectangular,15.648,0.363,2.5,0.004894635,0.19788147,0.272407,30,25,10,45.93,263.842,95.946,45.169,Bending,43.08,24.9697,10,40
268,Concrete,Rectangular,6.029,0.292,1.5,0.002034567,0.12757951,0.218729,30,25,16.667,102.861,283.51,268.697,104.814,Bending,20.67,7.6929,16.667,66.67
269,Concrete,Rectangular,18.109,0.437,2.5,0.01026231,0.28652832,0.327793,30,25,10,69.155,382.038,150.216,68.402,Bending,41.43,27.7886,10,40
270,Concrete,Rectangular,4.331,0.45,1.5,0.011526513,0.30366446,0.337452,30,25,16.667,525.75,674.81,2949.232,534.958,Bending,9.63,2.5737,16.667,66.67
271,Concrete,Rectangular,17.339,0.066,1.5,5.32E-06,0.00652214,0.049455,30,25,16.667,0.413,14.494,0.085,0.5,Deflection,262.96,57.7983,3.423,13.69
272,Concrete,Rectangular,9.352,0.218,2.5,0.000631837,0.07109636,0.163282,30,25,10,16.551,94.795,34.675,16.603,Bending,42.96,14.8793,10,40
273,Concrete,Rectangular,15.022,0.273,3.5,0.001565524,0.11191153,0.204858,30,25,7.143,14.535,106.582,33.302,14.838,Bending,55,21.8548,7.143,28.57
274,Concrete,Rectangular,3.37,0.433,3.5,0.009890473,0.2812895,0.324782,30,25,7.143,258.155,267.895,4179.332,249.939,Bending,7.78,0.694,7.143,28.57
275,Concrete,Rectangular,10.651,0.317,2,0.002825177,0.15033767,0.237438,30,25,12.5,55.859,250.563,119.548,58.984,Bending,33.64,16.5883,12.5,50
276,Concrete,Rectangular,11.788,0.439,1.5,0.010448089,0.28911021,0.329266,30,25,16.667,179.456,642.467,360.908,183.873,Bending,26.85,19.538,16.667,66.67
277,Concrete,Rectangular,17.815,0.409,3,0.007858023,0.25072732,0.306631,30,25,8.333,47.949,278.586,118.841,49.129,Bending,43.58,23.9601,8.333,33.33
278,Concrete,Rectangular,14.554,0.356,2.5,0.004520658,0.19017166,0.267048,30,25,10,46.524,253.562,102.435,47.232,Bending,40.88,22.0345,10,40
279,Concrete,Rectangular,15.549,0.121,2.5,6.10E-05,0.02209685,0.091029,30,25,10,1.725,29.462,1.212,1.21,Deflection,128.11,51.8297,7.025,28.1
280,Concrete,Rectangular,17.823,0.052,2.5,2.11E-06,0.00410534,0.039236,30,25,10,0.121,5.474,0.032,0.5,Deflection,340.69,59.411,2.642,10.57
281,Concrete,Circular,6.115,0.459,2,0.002177214,0.16540762,0.229458,30,25,12.5,77.581,275.679,279.456,78.554,Bending,13.33,5.6589,12.5,50
282,Concrete,Circular,11.134,0.053,3.5,3.84E-07,0.00219568,0.026437,30,25,7.143,0.037,2.091,0.015,0.5,Deflection,210.59,37.1147,2.849,11.4
283,Concrete,Circular,13.105,0.492,1.5,0.002865388,0.18975648,0.245767,30,25,16.667,59.312,421.681,80.089,58.808,Bending,26.66,32.3501,16.667,66.67
284,Concrete,Circular,2.163,0.418,2.5,0.00150439,0.13749444,0.209203,30,25,10,132.964,183.326,1543.003,129.446,Bending,5.17,0.6214,10,40
285,Concrete,Circular,15.699,0.294,2,0.0003646,0.06768822,0.146785,30,25,12.5,7.911,112.814,7.101,7.359,Deflection,53.47,52.3283,11.22,44.88
286,Concrete,Circular,18.777,0.096,3,4.19E-06,0.00725775,0.048065,30,25,8.333,0.155,8.064,0.057,0.5,Deflection,195.33,62.5884,3.072,12.29
287,Concrete,Circular,5.128,0.397,3,0.00121794,0.12371371,0.198442,30,25,8.333,39.899,137.46,222.354,41.184,Bending,12.92,3.0669,8.333,33.33
288,Concrete,Circular,3.212,0.312,1.5,0.000465006,0.07644238,0.155988,30,25,16.667,61.867,169.872,216.304,59.962,Bending,10.3,3.0626,16.667,66.67
289,Concrete,Circular,3.043,0.084,2,2.40E-06,0.00549076,0.041806,30,25,12.5,0.943,9.151,1.244,0.953,Bending,36.39,7.6886,12.5,50
290,Concrete,Circular,2.443,0.06,2.5,6.34E-07,0.00282325,0.029978,30,25,10,0.346,3.764,0.51,0.5,Bending,40.74,5.5283,10,40
291,Concrete,Circular,6.545,0.05,2,3.18E-07,0.00200005,0.025232,30,25,12.5,0.096,3.333,0.036,0.5,Deflection,129.7,21.8172,4.626,18.5
292,Concrete,Circular,4.945,0.408,3.5,0.001355753,0.13052546,0.203832,30,25,7.143,38.429,124.31,266.103,35.894,Bending,12.13,2.3805,7.143,28.57
293,Concrete,Circular,7.371,0.428,3,0.001646829,0.14385639,0.213988,30,25,8.333,34.804,159.84,145.502,33.467,Bending,17.22,5.8769,8.333,33.33
294,Concrete,Circular,19.116,0.118,3,9.51E-06,0.01093145,0.058988,30,25,8.333,0.281,12.146,0.125,0.5,Deflection,162.03,63.7185,3.703,14.81
295,Concrete,Circular,15.163,0.459,3.5,0.002184253,0.16567476,0.229643,30,25,7.143,17.923,157.785,45.602,17.263,Bending,33.01,19.8645,7.143,28.57
296,Concrete,Circular,6.936,0.493,1.5,0.002894791,0.1907276,0.246395,30,25,16.667,112.926,423.839,288.839,118.55,Bending,14.07,9.0389,16.667,66.67
297,Concrete,Circular,7.773,0.376,2,0.000981016,0.11103066,0.187995,30,25,12.5,33.565,185.051,77.929,32.305,Bending,20.67,11.1604,12.5,50
298,Concrete,Circular,17.558,0.263,3,0.000234653,0.05430226,0.131472,30,25,8.333,3.388,60.336,3.653,3.535,Bending,66.78,54.2818,8.333,33.33
299,Concrete,Circular,5.339,0.441,3.5,0.001854612,0.1526622,0.22044,30,25,7.143,45.019,145.393,312.248,44.805,Bending,12.11,2.5661,7.143,28.57
300,Concrete,Circular,11.546,0.058,3.5,5.57E-07,0.00264553,0.029019,30,25,7.143,0.047,2.52,0.02,0.5,Deflection,198.95,38.4879,3.016,12.06
301,Concrete,Circular,4.362,0.065,3,8.57E-07,0.00328133,0.032318,30,25,8.333,0.203,3.646,0.216,0.5,Bending,67.49,13.6307,8.333,33.33
302,Concrete,Circular,6.456,0.301,1.5,0.000404468,0.07129301,0.150643,30,25,16.667,27.727,158.429,46.584,28.975,Bending,21.43,12.8082,16.667,66.67
303,Concrete,Circular,4.895,0.343,3.5,0.00068089,0.09250034,0.171592,30,25,7.143,23.162,88.096,136.407,23.746,Bending,14.26,2.7705,7.143,28.57
304,Concrete,Circular,7.587,0.255,3.5,0.000207063,0.05101008,0.127425,30,25,7.143,6.12,48.581,17.269,6,Bending,29.77,8.9619,7.143,28.57
305,Concrete,Circular,3.304,0.227,2.5,0.000129473,0.04033615,0.113311,30,25,10,13.833,53.782,56.928,14.159,Bending,14.58,2.6762,10,40
306,Concrete,Circular,16.037,0.068,2.5,1.04E-06,0.00361338,0.033914,30,25,10,0.076,4.818,0.019,0.5,Deflection,236.44,53.4577,2.538,10.15
307,Concrete,Circular,3.889,0.159,1.5,3.13E-05,0.01983574,0.07946,30,25,16.667,6.755,44.079,9.938,6.69,Bending,24.47,8.8108,16.667,66.67
308,Concrete,Circular,10.682,0.145,1.5,2.15E-05,0.01643504,0.072329,30,25,16.667,1.855,36.522,0.904,0.905,Deflection,73.85,35.608,8.125,32.5
309,Concrete,Circular,12.074,0.054,3,4.30E-07,0.00232401,0.027198,30,25,8.333,0.044,2.582,0.014,0.5,Deflection,221.96,40.2456,2.703,10.81
310,Concrete,Circular,17.886,0.087,3.5,2.83E-06,0.0059623,0.043564,30,25,7.143,0.104,5.678,0.042,0.5,Deflection,205.28,59.6187,2.923,11.69
311,Concrete,Circular,3.414,0.229,2,0.000134089,0.04104886,0.114308,30,25,12.5,17.178,68.415,55.208,17.652,Bending,14.94,3.5413,12.5,50
312,Concrete,Circular,2.741,0.352,2.5,0.000750807,0.09713351,0.175837,30,25,10,62.305,129.511,479.574,63.338,Bending,7.8,1.1871,10,40
313,Concrete,Circular,4.236,0.453,1.5,0.00207258,0.16138402,0.22665,30,25,16.667,143.917,358.631,554.433,151.74,Bending,9.34,3.6652,16.667,66.67
314,Concrete,Circular,17.677,0.371,3,0.000933368,0.10830071,0.18567,30,25,8.333,9.479,120.334,14.337,9.581,Bending,47.6,38.9596,8.333,33.33
315,Concrete,Circular,8.11,0.417,2.5,0.0014796,0.13635688,0.208336,30,25,10,35.028,181.809,107.977,35.148,Bending,19.46,8.7697,10,40
316,Concrete,Circular,16.711,0.254,2.5,0.000202851,0.05048867,0.126772,30,25,10,3.83,67.318,3.487,3.586,Deflection,65.91,55.7045,9.103,36.41
317,Concrete,Circular,2.734,0.124,2.5,1.15E-05,0.01203731,0.0619,30,25,10,2.726,16.05,7.407,2.779,Bending,22.08,3.3533,10,40
318,Concrete,Circular,13.705,0.266,2.5,0.000244555,0.05543614,0.132838,30,25,10,5.373,73.915,6.249,5.626,Bending,51.59,39.2783,10,40
319,Concrete,Circular,5.946,0.489,3,0.002809961,0.18791226,0.24457,30,25,8.333,64.411,208.791,381.517,65.515,Bending,12.16,3.3461,8.333,33.33
320,Concrete,Circular,9.806,0.07,3,1.16E-06,0.00380982,0.034824,30,25,8.333,0.113,4.233,0.058,0.5,Deflection,140.79,32.686,4.262,17.05
321,Concrete,I-Beam,11.997,0.374,3.5,1.00E-10,0.07399195,0.373641,30,25,7.143,0,70.469,0,0.5,Bending,32.11,7.6424,7.143,28.57
322,Concrete,I-Beam,14.244,0.082,1.5,1.00E-10,0.00360638,0.082489,30,25,16.667,0,8.014,0,0.5,Deflection,172.68,47.4804,6.949,27.8
323,Concrete,I-Beam,17.128,0.128,3.5,1.00E-10,0.00873611,0.128387,30,25,7.143,0,8.32,0,0.5,Bending,133.41,45.3387,7.143,28.57
324,Concrete,I-Beam,9.659,0.206,3,1.00E-10,0.02241924,0.205671,30,25,8.333,0,24.91,0,0.5,Bending,46.96,10.5002,8.333,33.33
325,Concrete,I-Beam,15.819,0.277,2,1.00E-10,0.0407193,0.27718,30,25,12.5,0,67.865,0,0.5,Bending,57.07,31.3477,12.5,50
326,Concrete,I-Beam,9.895,0.376,3,1.00E-10,0.0750752,0.376366,30,25,8.333,0,83.417,0,0.5,Bending,26.29,6.022,8.333,33.33
